ID,Area,Capability,Actor,Story,Expected behavior from code,Interface / entrypoint,Source,Test method,Status,Defects,Defect type,Actual result,Notes / open questions
CLI-012,CLI shell,Search by inclusive date range,CLI user,As a CLI user I want documented date strings applied as search bounds.,"--since and --until are parsed with dateparse.ParseAny and applied inclusively (>= since, <= until); unsupported strings return 'invalid --since date' or 'invalid --until date'. Date-only values parse as UTC midnight. Help and shipped docs describe absolute dates/timestamps and explicitly do not promise relative phrases.",chronicle search --since value --until value,internal/cli/search.go:searchCmd; internal/storage/store.go:SearchEntries; internal/storage/markdown.go:matchesFilter,Built-binary cross-backend date/help matrix,Verified,-,-,"Loop 2 post-fix public CLI: `search --since 2500-01-01 --json` and `search --until 1600-01-01 --json` each exited 0 with null/no rows; full cross-backend date tests passed.",Root cause was SQLite UnixNano overflow; composite signed seconds plus nanoseconds now preserves the accepted range. A date-only --until excludes later instants that calendar day.
CLI-013,CLI shell,"Combined search, result limit, and JSON",CLI user,"As a CLI user I want composable filters, bounded results, and machine-readable output.","Text, date, and tag groups combine with AND while multiple tags use OR; default limit is 100 and --limit/-n overrides it. Default table matches list formatting; --json emits indented Entry JSON. Storage and JSON failures are wrapped.",chronicle search [text] [flags],internal/cli/search.go:searchCmd,Built-binary cross-backend system test,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,A nonpositive limit is unlimited; empty search JSON is null because both backends return nil slices.
CLI-014,CLI shell,Export to stdout,CLI user,As a CLI user I want a complete backup on stdout.,export reads all entries newest-first and writes YAML by default to stdout; --output '-' also means stdout.,chronicle export [--format yaml],internal/cli/export.go:exportCmd,Built-binary export parse/assertion,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,No trailing newline is added to JSON by the command.
CLI-015,CLI shell,Export format aliases,CLI user,"As a CLI user I want markdown, YAML, or JSON exports.","--format/-f accepts markdown/md, yaml/yml, or json and dispatches to the matching serializer; unknown values return an error listing canonical formats.",chronicle export --format|-f value,internal/cli/export.go:exportCmd; internal/export/export.go,Built-binary format matrix,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Aliases are accepted even though help lists only canonical names.
CLI-016,CLI shell,Export to file,CLI user,As a CLI user I want an export written to a named file.,"A nonempty --output/-o path other than '-' is overwritten with mode 0644, stdout remains empty, and stderr reports 'Exported N entries to <path>'; write errors are returned.",chronicle export --output|-o path,internal/cli/export.go:exportCmd,Built-binary filesystem scenario,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Parent directories are not created.
CLI-017,CLI shell,Migration target validation,Operator,As an operator I want unsafe or nonsensical migrations rejected.,--to is required and must be exactly sqlite or markdown; choosing the configured source backend returns an error before opening stores.,chronicle migrate --to backend,"internal/cli/migrate.go:migrateCmd,runMigrate",Built-binary CLI error scenarios,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Backend names are case-sensitive.
CLI-018,CLI shell,Migration target-directory safety,Operator,As an operator I want migration to avoid a nonempty target unless explicitly forced.,Target defaults to current config data_dir or expanded --data-dir. A nonempty directory is rejected unless --force; --force permits writes but does not clear existing target data.,chronicle migrate --to backend [--data-dir path] [--force],internal/cli/migrate.go:runMigrate; internal/config/config.go:IsDirNonEmpty,Built-binary migration scenario with real stores,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Using the same data_dir for different backend artifacts can require --force because the source itself makes it nonempty.
CLI-019,CLI shell,Migration execution and handoff,Operator,As an operator I want every entry copied while retaining control over activation.,"Migration opens source and target stores, copies all entries with IDs and metadata, prints source/target and count, and explicitly does not change config.json; output tells the operator which backend/data_dir values to edit.",chronicle migrate --to backend,internal/cli/migrate.go:runMigrate; internal/storage/migrate.go:MigrateData,Built-binary round-trip migration scenario,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Failure after partial copying is not rolled back.
CLI-020,CLI shell,Interactive setup command,CLI user,As a CLI user I want a guided backend/data-directory configuration flow.,"setup loads config, runs the Bubble Tea SetupModel, prints 'Setup canceled.' without saving on cancel, or saves selected backend/data_dir atomically and reports config path on completion; TUI/type/save failures are returned.",chronicle setup,internal/cli/setup.go:runSetup; internal/tui/setup.go,Pseudo-terminal end-to-end scenario plus model integration,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Requires an interactive terminal for full system exercise.
CLI-021,CLI shell,Skill installation confirmation,Claude Code user,As a Claude Code user I want to inspect and approve skill installation.,"install-skill prints capabilities and destination, warns if SKILL.md exists, prompts '[y/N]' unless --yes/-y, and cancels without writes for any response other than y/yes; stdin read errors are returned.",chronicle install-skill,internal/cli/skill.go:installSkill,Built-binary CLI scenario with isolated HOME and stdin,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,Confirmation input is trimmed and case-insensitive.
CLI-022,CLI shell,Skill installation and overwrite,Claude Code user,As a Claude Code user I want the embedded Chronicle skill installed predictably.,"On approval or --yes/-y, creates ~/.claude/skills/chronicle with mode 0750, writes embedded SKILL.md with requested mode 0600, and prints success/usage messages. A newly created file is 0600; os.WriteFile preserves the mode of an existing file during overwrite.",chronicle install-skill --yes,"internal/cli/skill.go:skillFS,installSkill; internal/cli/skill/SKILL.md",Built-binary create/overwrite/filesystem-mode scenario,Verified,-,-,Loop 2 re-test: new install and overwrite both exited 0 with exact embedded content; a new file was 0600 and a pre-existing 0644 file remained 0644 after overwrite.,The skill content is not secret; overwrite does not normalize existing permissions.
CLI-023,CLI shell,MCP stdio subcommand,AI client/operator,As an AI client I want to launch Chronicle as an MCP stdio server.,mcp constructs a configured Chronicle MCP server and runs it over stdio until transport/context termination; construction errors are wrapped.,chronicle mcp,internal/cli/mcp.go:mcpCmd; internal/mcp/server.go,Real MCP SDK client over spawned stdio process,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,No network listener is created.
CLI-024,CLI shell,Generated completion command,Shell user,As a shell user I want Chronicle to generate completion scripts for supported shells.,"Execute initializes Cobra's generated completion command before implicit-add classification. completion bash/fish/powershell/zsh and help are dispatched by Cobra; --no-descriptions generates scripts using Cobra's no-description callback protocol.",chronicle completion [bash|fish|powershell|zsh] [--no-descriptions],"internal/cli/root.go:Execute,shouldInjectAddCommand,isKnownCommand; github.com/spf13/cobra v1.10.1",Built-binary all-shell generation/syntax/protocol matrix,Verified,-,-,Loop 1 re-test: all 8 shell/description combinations generated nonempty scripts with the expected __complete or __completeNoDesc token; bash/fish/zsh syntax checks passed and completion help resolved normally.,PowerShell output was generated and inspected but not executed because pwsh is unavailable; hidden callbacks are separately verified in CLI-029.
CLI-025,CLI shell,Ignored positional arguments on non-query commands,CLI user,As a CLI user I want to know how extra positional arguments are handled.,"Only add and search declare Args validation. list, export, migrate, setup, mcp, and install-skill accept and ignore arbitrary positional arguments before running their normal behavior.",chronicle <list|export|migrate|setup|mcp|install-skill> extra...,internal/cli/list.go:listCmd; internal/cli/export.go:exportCmd; internal/cli/migrate.go:migrateCmd; internal/cli/setup.go:setupCmd; internal/cli/mcp.go:mcpCmd; internal/cli/skill.go:installSkillCmd,Built-binary argument matrix with isolated side effects,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,"Likely UX defect, but this row records current implemented behavior."
CLI-026,CLI shell,Absent version flag,CLI user,As a CLI user I want to know whether the binary exposes version metadata.,"rootCmd defines no Version, so --version is an unknown flag and exits nonzero through the normal duplicated-error path.",chronicle --version,internal/cli/root.go:rootCmd; .goreleaser.yml:ldflags,Built-binary subprocess test,Verified,-,-,Loop 2 re-test: fresh go1.24.11 built-binary matrix with isolated HOME/XDG exercised this story successfully; the current CLI package race suite exited 0.,"GoReleaser tries to inject main.version, but no such variable is declared or exposed."
CLI-027,CLI help,Subcommand help matrix,CLI user,As a CLI user I want generated help for every supported subcommand and alias.,"Execute initializes Cobra's generated help command before shorthand classification. Both help <command> and <command> --help/-h show generated use, aliases, flags/defaults, and long examples without executing the target command.",chronicle help <command>; chronicle <command> --help|-h,"internal/cli/root.go:Execute,isKnownCommand; internal/cli/*.go command declarations; github.com/spf13/cobra v1.10.1",Built-binary help golden/matrix test,Verified,-,-,Loop 1 re-test: bare help and help add exited 0 without storage writes; direct command --help/-h behavior remained valid.,Same generated-command initialization fixes both help and completion reachability.
CLI-028,Installed skill,Embedded Chronicle skill guidance,Claude Code user,As a Claude Code user I want the installed skill to accurately describe Chronicle tools and fallback commands.,"install-skill writes the embedded SKILL.md verbatim. It lists six MCP tools, CLI fallbacks, backend-dependent data paths, and explicitly states that MCP since/until/timeframe inputs are compatibility fields currently ignored while CLI absolute-date filters are effective.",~/.claude/skills/chronicle/SKILL.md after chronicle install-skill,"internal/cli/skill/SKILL.md; internal/cli/skill.go:skillFS,installSkill; internal/mcp/tools.go",Built-binary install then content/claim verification,Verified,-,-,Loop 1 re-test: embedded-skill contract checks passed and isolated install tests/race suite confirmed the shipped bytes; false date/timeframe examples were removed.,Relative CLI dates are explicitly unsupported; ISO/date-only examples remain.
CLI-029,CLI shell,Hidden shell-completion callbacks,Generated shell script,As a generated completion script I want runtime completion requests handled without creating Chronicle entries.,Execute exempts Cobra's exported __complete and __completeNoDesc request commands from implicit-add rewriting; Cobra returns matching candidates and its directive line while the no-description variant omits tab-separated descriptions.,chronicle __complete|__completeNoDesc [command] [prefix],"internal/cli/root.go:Execute,shouldInjectAddCommand; github.com/spf13/cobra ShellCompRequestCmd,ShellCompNoDescRequestCmd",Built-binary hidden-protocol tests with isolated storage,Verified,-,-,Loop 1 re-test: both callbacks exited 0 with the expected add candidate and :4 directive; no-description output omitted descriptions; isolated tests confirmed no storage file was created.,Fresh audit caught this runtime dependency after script generation alone had been marked verified.
CFG-001,Configuration,XDG data-home resolution,CLI/library consumer,As a consumer I want Chronicle data to respect XDG locations.,GetDataHome returns nonempty XDG_DATA_HOME verbatim; otherwise it returns <user-home>/.local/share.,config.GetDataHome(),internal/config/xdg.go:GetDataHome,Go unit test with isolated environment,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",UserHomeDir errors are ignored and can yield a relative fallback.
CFG-002,Configuration,XDG config-home and config path,CLI/library consumer,As a consumer I want Chronicle configuration to respect XDG locations.,GetConfigHome returns nonempty XDG_CONFIG_HOME verbatim or <user-home>/.config; GetConfigPath appends chronicle/config.json.,config.GetConfigHome(); config.GetConfigPath(),internal/config/xdg.go:GetConfigHome; internal/config/config.go:GetConfigPath,Go unit test with isolated environment,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",Config format is JSON.
CFG-003,Configuration,First-run configuration creation,New user,As a new user I want a usable backend selected automatically.,"When config.json is absent, Load chooses sqlite if the default chronicle.db already exists, otherwise markdown; it attempts to save that config and returns it even if saving fails, printing a warning to stderr.",config.Load() with absent config,"internal/config/config.go:defaultFirstRunConfig,Load",Real-filesystem integration test,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",A non-not-found stat error also warns and falls back to markdown.
CFG-004,Configuration,Existing JSON configuration load,CLI/library consumer,As a consumer I want stored backend settings parsed exactly.,Load reads config.json and unmarshals backend/data_dir; malformed JSON and non-not-found read errors are returned without fallback.,config.Load(),internal/config/config.go:Load,Real-filesystem integration test,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",Unknown fields are ignored by encoding/json.
CFG-005,Configuration,Atomic configuration save,CLI/library consumer,As a consumer I want configuration updates written safely.,"Save indents Config as JSON and writes it through mdstore.AtomicWrite, creating parent state per that dependency and returning marshal/write errors.",(*config.Config).Save(),internal/config/config.go:Config.Save,Real-filesystem integration test,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",Empty fields are omitted.
CFG-006,Configuration,Backend and data-directory defaults,CLI/library consumer,As a consumer I want deterministic effective settings.,GetBackend returns sqlite only when Config.Backend is empty; otherwise returns the configured string. GetDataDir returns <XDG data home>/chronicle when empty or expands a configured leading tilde.,Config.GetBackend(); Config.GetDataDir(),"internal/config/config.go:GetBackend,GetDataDir",Go unit test,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",First-run persisted default is normally markdown even though an empty in-memory Config defaults to sqlite.
CFG-007,Configuration,Leading-tilde expansion,CLI/library consumer,As a consumer I want home-relative data paths expanded.,"ExpandPath maps '~' to home and '~/' prefixes beneath home; empty and all other strings, including '~name', are returned unchanged.",config.ExpandPath(path),internal/config/config.go:ExpandPath,Go unit test,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",UserHomeDir errors are ignored.
CFG-008,Configuration,Storage backend factory,CLI/library consumer,As a consumer I want configured storage opened through one interface.,OpenStorage creates SQLite at <data_dir>/chronicle.db or Markdown at data_dir; any other backend returns 'unknown backend: <quoted value>'.,Config.OpenStorage(),"internal/config/config.go:OpenStorage,DefaultDBPath",Real cross-backend integration test,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",Backend matching is case-sensitive.
CFG-009,Configuration,Nonempty-directory detection,Operator,"As an operator I want migration safety checks to distinguish absent, empty, and populated directories.","IsDirNonEmpty returns false,nil for absent or empty directories, true,nil when any entry exists, and a wrapped error for unreadable paths.",config.IsDirNonEmpty(path),internal/config/config.go:IsDirNonEmpty,Real-filesystem unit test,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",Hidden files and lock files count as content.
CFG-010,Project configuration,Project-root discovery,Project contributor,As a contributor I want Chronicle to find the nearest project configuration above my working directory.,FindProjectRoot absolutizes the start and walks upward until the first .chronicle; it stops without a result at the user's home directory or filesystem root and returns path/home resolution errors.,config.FindProjectRoot(dir),internal/config/project.go:FindProjectRoot,Real-filesystem unit test,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",A .chronicle in the home directory itself can be found before the stop check.
CFG-011,Project configuration,Project TOML defaults and parsing,Project contributor,As a contributor I want a compact .chronicle file with sensible defaults.,"LoadProjectConfig defaults log_dir='logs' and log_format='markdown', then TOML-decodes local_logging, log_dir, and log_format; read/parse errors are returned.",config.LoadProjectConfig(.chronicle path),"internal/config/project.go:ProjectConfig,LoadProjectConfig",Real-filesystem unit test,Verified,-,-,"Loop 2 re-test: the current config package race suite exited 0; isolated XDG, backend, first-run, and project-config scenarios passed.",Unknown log_format values later fall back to markdown formatting.
TUI-001,Setup TUI,Wizard initialization,Interactive CLI user,As an interactive user I want setup prefilled from existing configuration.,"NewSetupModel starts on backend step, focuses a 50-column backend input with sqlite placeholder, sets data-dir placeholder to the XDG Chronicle directory, and replaces placeholders with nonempty supplied values. SetupModel.Init returns textinput.Blink.","tui.NewSetupModel(backend,dataDir); SetupModel.Init()","internal/tui/setup.go:NewSetupModel,defaultDataDir,Init",Go model unit test,Verified,-,-,Loop 2 re-test: the current TUI model race suite exited 0; real PTY cancel and save scenarios passed with isolated configuration.,"Placeholder default sqlite differs from new-user persisted markdown, but setup normally receives the loaded markdown value."
TUI-002,Setup TUI,Backend validation,Interactive CLI user,As an interactive user I want only supported backends accepted.,"Enter trims and lowercases backend input, substitutes sqlite when blank, advances only for sqlite or markdown, and silently stays on the step for other values.",SetupModel.Update(Enter) at StepBackend,"internal/tui/setup.go:updateInput,handleEnter",Go model integration test,Verified,-,-,Loop 2 re-test: the current TUI model race suite exited 0; real PTY cancel and save scenarios passed with isolated configuration.,No inline validation error is displayed for invalid input.
TUI-003,Setup TUI,Data-directory completion,Interactive CLI user,As an interactive user I want a default data path when I leave it blank.,"On the data-dir step Enter trims only for emptiness, substitutes the default XDG Chronicle path if blank, marks StepDone, and quits; nonblank input is preserved exactly.",SetupModel.Update(Enter) at StepDataDir,internal/tui/setup.go:handleEnter,Go model integration test,Verified,-,-,Loop 2 re-test: the current TUI model race suite exited 0; real PTY cancel and save scenarios passed with isolated configuration.,"Tilde expansion occurs later through Config.GetDataDir, not in the model."
TUI-004,Setup TUI,Cancel and save decision,Interactive CLI user,As an interactive user I want Ctrl-C or Escape to cancel safely.,Ctrl-C or Escape at any step sets quitting and emits tea.Quit; ShouldSave is true only after StepDone without quitting; Result returns both input values.,SetupModel.Update; Result; ShouldSave,"internal/tui/setup.go:Update,Result,ShouldSave",Go model integration test plus pseudo-terminal scenario,Verified,-,-,Loop 2 re-test: the current TUI model race suite exited 0; real PTY cancel and save scenarios passed with isolated configuration.,Setup command prints cancellation rather than saving.
TUI-005,Setup TUI,Wizard rendering,Interactive CLI user,"As an interactive user I want clear step, branding, and completion feedback.","View renders CHRONO BLASTER 3000 branding, step-specific prompts and active input, then 'Configuration ready!' with backend and data directory; only the CLI layer claims saving after cfg.Save succeeds.",SetupModel.View(),internal/tui/setup.go:View,Snapshot-like model output test plus PTY CLI flow,Verified,-,-,Loop 1 re-test: StepDone output contains 'Configuration ready!' and rejects any saved claim; TUI race tests passed and the CLI retains its post-persistence saved-path message.,Fix root cause: report readiness at the model boundary and persistence only at the caller boundary.
STO-001,Storage API,Common entry model and contract,Internal library consumer,As an internal library consumer I want interchangeable persistence backends.,"Storage exposes Create/Get/Update/Delete/List/Search/LastModified/Vacuum/Reset/Close over Entry fields ID, timestamp, message, hostname, username, working_directory, and tags; both SQLite and Markdown implement it.",storage.Storage; storage.Entry; storage.SearchFilter,"internal/storage/interface.go; internal/storage/store.go:Entry,SearchFilter; internal/storage/markdown.go",Cross-backend contract and migration tests,Verified,-,-,Loop 2 re-test: real SQLite/Markdown CRUD/search/maintenance and both-direction migration suites passed under the race detector.,"The package is Go-internal, so this API is observable to repository code but not arbitrary external importers."
SQL-001,SQLite storage,"Store creation, schema, and pragmas",Internal library consumer,As a storage consumer I want a ready-to-use concurrent SQLite database.,"NewSqliteStore creates parent directory mode 0750 unless :memory:, serializes in-process initialization, opens modernc SQLite with a centralized 15-second per-connection busy timeout and immediate transactions, installs WAL and foreign keys, and transactionally creates/migrates entries, a composite timestamp index, FTS5, and field-scoped sync triggers. Parseable legacy timestamps are backfilled atomically.",storage.NewSqliteStore(path),"internal/storage/store.go:NewSqliteStore,migrate,backfillTimestampInstantKeys",Real SQLite schema/rollback/concurrent-process integration tests,Verified,-,-,"Post-merge fix: a real child NewSqliteStore remained pending while another process held BEGIN IMMEDIATE for six seconds, then succeeded after commit; focused concurrent-startup/migration race tests passed three runs and full storage/full-repository race suites passed.",The bounded 15-second wait is one source of truth for DSN and startup PRAGMA; exceptionally long external lock holders can still return SQLITE_BUSY rather than wait indefinitely.
SQL-002,SQLite storage,Create and retrieve entries,Internal library consumer,As a storage consumer I want entries persisted with stable identity and metadata.,"CreateEntry generates UUID/current time only when missing, stores an offset-preserving stable timestamp string plus signed Unix-seconds and nanosecond instant components and JSON tags, rejects duplicate IDs, refreshes LastModified, and returns ID. GetEntry restores current and legacy named/numeric-zone timestamps, nullable metadata/tags, or returns not found/parse errors.",SqliteStore.CreateEntry; GetEntry,"internal/storage/store.go:CreateEntry,GetEntry,scanEntry,parseTimestamp,formatTimestamp",Real SQLite current/legacy/null/range round-trip matrix,Verified,-,-,Loop 2 post-fix storage tests passed create/get and migration round trips before 1678 and after 2262 while retaining offset and one-nanosecond precision; package race suite exited 0.,Nil tags written by Chronicle are JSON null and read back nil; composite instant components avoid UnixNano overflow.
SQL-003,SQLite storage,Update entries and FTS index,Internal library consumer,As a storage consumer I want an existing entry and its search index updated atomically.,"UpdateEntry requires ID, replaces timestamp text/composite instant key and all metadata, fires the FTS update trigger because message and tags are assigned, refreshes updated_at/LastModified, and reports not found on zero affected rows.",SqliteStore.UpdateEntry(entry),"internal/storage/store.go:UpdateEntry,migrate triggers",Real SQLite update/search/timestamp integration tests,Verified,-,-,Loop 2 post-fix update tests passed range-safe seconds/nanosecond persistence plus message/tag FTS changes; timestamp-only backfill remained outside the scoped FTS trigger.,The field-scoped trigger prevents migration backfills that update only instant-key columns from touching FTS; UpdateEntry itself always assigns message/tags. A zero timestamp is written as supplied rather than defaulted.
SQL-004,SQLite storage,Delete entries and FTS index,Internal library consumer,As a storage consumer I want deletion to remove searchable state.,"DeleteEntry deletes by ID, FTS trigger removes index row, reports not found on zero affected rows, and refreshes LastModified.",SqliteStore.DeleteEntry(id),"internal/storage/store.go:DeleteEntry,migrate triggers",Real SQLite integration test with post-delete search,Verified,-,-,Loop 2 re-test: current real-SQLite targeted and package race suites exited 0 after the transactional normalized-instant migration.,Empty ID behaves as not found.
